ID,chap,sp,trat,orient,pend,sol,Solvege,dom,alt0,a10,a20,vol0,frutos0,t0,t0pond,fustes0n,tocon0,sup1,frutos1,alt1,a11,a21,vol2,t1,sup2,frutos2,alt2,a12,a22,vol2,t2,sup3,frutos3,alt3,a13,a23,vol3,t3,sup4,frutos4,alt4,a14,a24,vol4,t4,sup5,frutos5,alt5,a15,a25,vol5,t5,nfustes5
2,11,ata,a,170,20,140,35,dom,220,300,350,23100000,516,12.00,12.00,4,32,1,0,115,177,157,3195735,4.00,1,0,140,240,210,7056000,2.00,1,0,114,150,130,2223000,2.17,1,0,182,180,320,10483200,2.15,1,0,100,133,140,1862000,1.25,24
3,12,ata,a,170,20,143,20,dom,178,180,80,2563200,260,1.00,1.00,2,15,1,0,58,130,70,527800,1.08,1,0,102,101,96,988992,0.67,1,0,37,74,70,191660,1.20,1,0,24,30,40,28800,0.50,0,NA,NA,NA,NA,NA,NA,NA
4,8,ata,b,165,30,124,20,dom,230,250,240,13800000,429,5.00,5.00,2,14,1,0,177,110,116,2258520,NA,1,26,260,210,170,9282000,0.83,1,0,141,84,146,1729224,NA,1,12,247,200,200,9880000,0.77,1,0,144,128,103,1898496,NA,6
9,17,ang,c,203,31,138,15,dom,389,342,376,50022288,696,3.00,6.00,24,25,1,0,235,166,190,7411900,NA,1,1,346,320,360,39859200,NA,1,885,412,517,490,104371960,NA,1,560,450,500,550,123750000,10.25,1,0,190,175,170,5652500,NA,33
10,18,ang,a,210,30,139,15,dom,365,457,463,77230715,833,4.00,8.00,16,33,1,0,195,157,160,4898400,4.08,1,0,283,189,187,10002069,3.83,1,0,186,135,112,2812320,1.97,1,0,166,68,164,1851232,1.30,1,0,80,86,88,605440,1.37,8
12,19,ata,b,203,23,138,15,dom,250,310,290,22475000,511,1.00,2.00,1,18,1,0,121,147,108,1920996,NA,1,0,177,227,280,11250120,1.83,1,0,152,163,152,3765952,NA,1,80,240,260,240,14976000,2.67,1,0,144,130,103,1928160,NA,11
13,20,ata,c,195,33,138,15,dom,272,306,407,33875424,597,1.00,2.00,2,33,1,0,194,174,180,6076080,NA,1,0,280,265,347,25747400,NA,1,2400,328,203,450,29962800,NA,1,550,332,442,440,64567360,6.75,1,0,96,100,114,1094400,NA,31
14,21,ata,c,175,18,151,10,dom,233,200,245,11417000,402,1.00,2.00,2,22,1,0,157,155,113,2749855,NA,1,0,160,160,130,3328000,NA,1,0,210,310,200,13020000,NA,1,480,260,360,440,41184000,3.03,1,0,153,110,80,1346400,NA,16
15,22,ata,b,191,34,141,10,dom,154,160,182,4484480,302,0.50,0.50,3,14,1,0,121,94,90,1023660,NA,1,0,206,158,168,5468064,0.83,1,0,130,129,127,2129790,NA,1,80,193,224,214,9251648,1.17,1,0,123,114,81,1135782,NA,16
16,23,ata,c,191,34,141,10,dom,183,260,198,9420840,377,2.50,2.50,2,7,1,0,76,79,84,504336,NA,1,0,130,170,170,3757000,NA,1,76,147,208,185,5656560,NA,1,120,280,240,340,22848000,1.55,1,0,109,145,118,1864990,NA,17
