"","LR Chisq","Df","Pr(>Chisq)"
"year",362.789713314576,4,3.03547943989016e-77
"trat",419.759908302034,2,7.0842527936118e-92
"alt0",182.64161044262,1,1.28431707915719e-41
"I(alt0^2)",113.08996606211,1,2.06203040976968e-26
"dom",9.29895338915891,1,0.00229284809499215
"year:trat",278.273165198351,8,1.71917433075417e-55
"year:alt0",5.26920032512493,4,0.260774024246716
"trat:alt0",5.05296346865289,2,0.079939775478634
"year:I(alt0^2)",2.29242588710404,4,0.682148381826143
"trat:I(alt0^2)",2.37433176473108,2,0.305084685857502
"year:dom",2.88801146601818,4,0.576737909124846
"trat:dom",0.140130921925639,2,0.932332786506445
