"","LR Chisq","Df","Pr(>Chisq)"
"year",370.312642235866,4,7.20293070424446e-79
"trat",428.5537760272,2,8.72428684548035e-94
"alt0",196.796039420994,1,1.04480543912348e-44
"I(alt0^2)",119.272284783754,1,9.12966554030712e-28
"dom",13.576155111396,1,0.000229076976603697
"sp",10.5838707225516,1,0.00114078558637284
"year:trat",285.464278901851,8,5.09088422251577e-57
"year:alt0",5.4061064951532,4,0.248106902762427
"trat:alt0",4.16064025083909,2,0.124890225262747
"year:I(alt0^2)",2.3214720419934,4,0.676862514712718
"trat:I(alt0^2)",1.79758487359688,2,0.407060914851674
"year:dom",2.85830524735983,4,0.581810700123869
"trat:dom",0.609189161739359,2,0.73742227889572
