"","LR Chisq","Df","Pr(>Chisq)"
"year",233.655635037977,4,2.15561577023292e-49
"trat",178.726587492196,2,1.54886883504856e-39
"alt0",0.00795303774594913,1,0.928939014133925
"dom",8.71867537539168,1,0.00314966802065614
"sp",0.233190633052402,1,0.629168048248303
"year:trat",47.9641360551288,8,1.0036727792559e-07
"trat:alt0",3.42098647228505,2,0.180776605068326
"year:alt0",1.78560739093666,4,0.775114492062557
"trat:dom",0.0321826457668521,2,0.984037450814381
"year:dom",1.52617542844411,4,0.821994923920906
