"","LR Chisq","Df","Pr(>Chisq)"
"year",86.1128872817718,1,1.69951673367942e-20
"trat",83.8826172036737,2,6.0970690069946e-19
"alt0",11.0858029992206,1,0.000869911450047208
"dom",31.1489174880327,1,2.38972590825383e-08
"sp",1.14735692946567,1,0.284103121062964
"year:trat",6.74080863639415,2,0.0343757357978173
"year:alt0",3.98571898003229,1,0.045887512994567
"trat:alt0",51.1909363542519,2,7.65648452262654e-12
"year:dom",1.12929923023705,1,0.287924863694375
"trat:dom",25.1769955774165,2,3.41102478380039e-06
